Name,Address,Latitude,Longitude,Contact,Email,Website,Category
Pusat Darah Negara Midvalley Donation Suite,"T-063, 3rd floor Mezzanine, Lingkaran Syed Putra, Mid Valley Megamall, 59200 Kuala Lumpur",3.117515644,101.6766708,03-2280 0349,pdn@moh.gov.my,https://pdn.gov.my/v2/,Blood
Jabatan Perubatan Transfusi,"Jabatan Perubatan Tranfusi, 59100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",3.113851541,101.6526514,60379492039,N/A,https://m.facebook.com/pg/DERMA-DARAH-PPUM-127413292176023/posts/,Blood
National Blood Centre,"Jln Tun Razak, Titiwangsa, 50400 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",3.173462282,101.7063807,60326132688,pdn@moh.gov.my,http://www.pdn.gov.my/,Blood
Sedarah Malaysia," Jalan 1/149e, Bandar Baru Sri Petaling, 57000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",3.065165586,101.6951875,60355621852,sedarahmalaysia@gmail.com,https://www.sedarahmalaysia.org/,Blood
Pusat Darah Negara 1 Utama,"B2, New Wing, Lebuh Bandar Utama, Bandar Utama, 47800 Petaling Jaya, Selangor",3.153937616,101.6155842,60319810877,pdn@moh.gov.my,http://www.pdn.gov.my/,Blood
"Tengku Ampuan Rahimah Hospital, Klang","Jalan Langat, 41200 Klang, Selangor",3.022744685,101.4410708,60333757000,N/A,https://htar.moh.gov.my/,Blood
Blood Donation Centre,"Level 5, Subang Jaya Medical Centre (North Tower Annex Block 1 Jalan SS12/1A, 47500 Subang Jaya, Selangor",3.085769163,101.5943214,60356391575,sjmc.ipc@rsdhealth.com,https://www.subangjayamedicalcentre.com/,Blood
Bless Shop @ Midvalley,"CP-01, Level P1, Lingkaran Syed Putra, Mid Valley City, 59200 Kuala Lumpur, Federal Territory of Kuala Lumpur",3.11713,101.677,60124068002,sibklbless@gmail.com,,Clothes
Kloth Bin Jalan Kuchai Maju,"36, Jalan 8/116B, Sri Desa Entrepreneur Park, 58200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",3.08737,101.68981,60353367899,ask@kloth.com.my,,Clothes
Kloth Bin Jalan Gelenggang,"Wisma Guthrie, Bukit Damansara, 50490 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",3.15203,101.66336,60391191119,ask@kloth.com.my,,Clothes
Kloth Bin IKEA Cheras,"2a, Jalan Cochrane, Maluri, 55100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",3.13449,101.72089,60345544554,ask@kloth.com.my,,Clothes
Kloth Bin Shell Bandar Manjalara,"Petronas, Bandar Menjalara, 52200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",3.19586,101.63082,60328828110,ask@kloth.com.my,,Clothes
H&M,"G-01 to 29 and UG-01 to 29, KL Gateway Mall, 59200 Kuala Lumpur",3.11409,101.66282,60379323801,customerservice.my.en@hm.com,,Clothes
H&M,"L1 - 13, CC - 23, 201, Jalan Tun Sambanthan, Brickfields, 50470 Kuala Lumpur",3.13365,101.68733,60322765650,customerservice.my.en@hm.com,,Clothes
H&M 1 Mont Kiara,"1 Mont Kiara, 1, Jalan Kiara, Mont Kiara, 50480 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",3.16542,101.65265,60362010755,customerservice.my.en@hm.com,,Clothes
H&M @ Sunway Putra Mall,"100, Jalan Putra, Chow Kit, 50350 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",3.16643,101.69241,60340417750,customerservice.my.en@hm.com,,Clothes
